,PropertyUrl,sq ft,sqft lot,acres lot,FoodFactor
6367,https://www.realtor.com/realestateandhomes-detail/6045-Lagorce-Dr_Miami-Beach_FL_33140_M52109-62323,"3,568","6,938",,  10/10
6368,https://www.realtor.com/realestateandhomes-detail/960-NW-204th-St_Miami-Gardens_FL_33169_M63510-29978,"3,379","7,500",,  1/10
6369,https://www.realtor.com/realestateandhomes-detail/13980-SW-152nd-Pl_Miami_FL_33196_M51303-18854,"2,161","7,875",,  5/10
6363,https://www.realtor.com/realestateandhomes-detail/11835-SW-47th-St_Miami_FL_33175_M59752-35048,"6,005",,1.06,  3/10
6370,https://www.realtor.com/realestateandhomes-detail/8762-W-33rd-Ave_Hialeah_FL_33018_M68191-73977,"2,402","4,185",,  6/10
6372,https://www.realtor.com/realestateandhomes-detail/918-Ferdinand-St_Coral-Gables_FL_33134_M52478-20786,"1,532","6,000",,  5/10
6371,https://www.realtor.com/realestateandhomes-detail/6750-SW-59th-St_South-Miami_FL_33143_M58286-91330,"2,454",,0.71,  1/10
6373,https://www.realtor.com/realestateandhomes-detail/2272-SW-5th-St_Miami_FL_33135_M65317-77931,"1,809","5,250",,  1/10
6377,https://www.realtor.com/realestateandhomes-detail/8730-NE-8th-Ct_Miami_FL_33138_M53600-08943,930,"6,002",,  9/10
6374,https://www.realtor.com/realestateandhomes-detail/509-Oakwood-Dr_Miami-Springs_FL_33166_M59415-52199,"1,416","7,100",,  4/10
6378,https://www.realtor.com/realestateandhomes-detail/9790-SW-67th-Ave_Pinecrest_FL_33156_M58607-48264,"4,189",,0.74,  1/10
6375,https://www.realtor.com/realestateandhomes-detail/1311-Stillwater-Dr_Miami-Beach_FL_33141_M56144-91767,,"7,500",,  10/10
6380,https://www.realtor.com/realestateandhomes-detail/1133-Cotorro-Ave_Coral-Gables_FL_33146_M68653-96739,"3,990",,,  1/10
6379,https://www.realtor.com/realestateandhomes-detail/5925-SW-117th-St_Coral-Gables_FL_33156_M57977-17034,"3,935",,0.77,  6/10
6381,https://www.realtor.com/realestateandhomes-detail/7820-SW-117th-St_Miami_FL_33156_M58996-16642,"4,258",,0.91,  1/10
6383,https://www.realtor.com/realestateandhomes-detail/100-Cape-Florida-Dr_Key-Biscayne_FL_33149_M62571-08828,"8,240",,0.38,  10/10
6382,https://www.realtor.com/realestateandhomes-detail/6002-Cellini-St_Coral-Gables_FL_33146_M63086-58510,,,0.34,  3/10
6376,https://www.realtor.com/realestateandhomes-detail/19512-SW-120th-Ave_Miami_FL_33177_M56032-35526,"1,982","7,644",,  1/10
6384,https://www.realtor.com/realestateandhomes-detail/29481-SW-193rd-Ct_Homestead_FL_33030_M66479-37096,"3,510",,0.4,  2/10
6385,https://www.realtor.com/realestateandhomes-detail/509-SW-136th-Pl_Miami_FL_33184_M65886-92960,"3,282","7,500",,  1/10
6387,https://www.realtor.com/realestateandhomes-detail/8005-SW-63rd-Pl_Miami_FL_33143_M64255-79931,"1,192","8,000",,  3/10
6386,https://www.realtor.com/realestateandhomes-detail/1375-N-Biscayne-Point-Rd_Miami-Beach_FL_33141_M51917-33097,"3,934",,0.26,  10/10
6389,https://www.realtor.com/realestateandhomes-detail/11610-NE-21st-Dr_North-Miami_FL_33181_M62539-89861,"2,464","9,525",,  10/10
6391,https://www.realtor.com/realestateandhomes-detail/20622-NW-12th-Pl_Miami-Gardens_FL_33169_M66654-60922,"3,004","6,000",,  1/10
6390,https://www.realtor.com/realestateandhomes-detail/1440-NW-89th-St_Miami_FL_33147_M68335-52947,802,"8,250",,  6/10
6388,https://www.realtor.com/realestateandhomes-detail/7625-NW-100th-Ave_Doral_FL_33178_M65456-16157,"3,624","5,524",,  9/10
6393,https://www.realtor.com/realestateandhomes-detail/14160-NW-23rd-Pl_Opa-Locka_FL_33054_M69236-96114,"1,092","5,400",,  2/10
6392,https://www.realtor.com/realestateandhomes-detail/3125-Pine-Tree-Dr_Miami-Beach_FL_33140_M50626-08563,"6,188",,0.45,  9/10
6395,https://www.realtor.com/realestateandhomes-detail/13859-SW-156th-Ave_Miami_FL_33196_M64411-34349,"1,622","5,301",,  4/10
6394,https://www.realtor.com/realestateandhomes-detail/818-Pizarro-St_Coral-Gables_FL_33134_M52228-78009,"1,766",,0.23,  3/10
6396,https://www.realtor.com/realestateandhomes-detail/2171-NW-99th-Ter_Miami_FL_33147_M69315-99642,"1,230","7,000",,  2/10
6398,https://www.realtor.com/realestateandhomes-detail/1575-NE-127th-St_North-Miami_FL_33161_M58424-12931,"1,084","7,500",,  10/10
6399,https://www.realtor.com/realestateandhomes-detail/25521-SW-132nd-Ave_Homestead_FL_33032_M67093-51245,"1,628","7,144",,  6/10
6397,https://www.realtor.com/realestateandhomes-detail/455-NE-75th-St_Miami_FL_33138_M52206-87542,"1,485","7,000",,  6/10
6401,https://www.realtor.com/realestateandhomes-detail/15451-SW-149th-Ct_Miami_FL_33187_M66761-70649,"1,352",,0.32,  2/10
6400,https://www.realtor.com/realestateandhomes-detail/Homestead_FL_33033_M90591-02030,,"6,538",,  5/10
6402,https://www.realtor.com/realestateandhomes-detail/390-NE-93rd-St_Miami-Shores_FL_33138_M53756-94756,"2,894",,0.23,  6/10
6403,https://www.realtor.com/realestateandhomes-detail/33-E-Rd_Hialeah_FL_33013_M62475-70334,"1,000","5,440",,  1/10
6405,https://www.realtor.com/realestateandhomes-detail/1056-NE-41st-Ter_Homestead_FL_33033_M62632-27994,"1,507","3,600",,  6/10
6406,https://www.realtor.com/realestateandhomes-detail/14016-SW-148th-Ln_Miami_FL_33186_M69855-77908,"1,734","5,226",,  3/10
6407,https://www.realtor.com/realestateandhomes-detail/65-NW-116th-St_Miami_FL_33168_M56214-03636,"1,584",,0.24,  1/10
6411,https://www.realtor.com/realestateandhomes-detail/275-N-Biscayne-River-Dr_Miami_FL_33169_M50713-95590,"2,456",,0.33,  6/10
6408,https://www.realtor.com/realestateandhomes-detail/4540-N-Michigan-Ave_Miami-Beach_FL_33140_M63675-24667,"3,532","9,762",,  10/10
6410,https://www.realtor.com/realestateandhomes-detail/2201-NW-192nd-Ter_Miami-Gardens_FL_33056_M65017-48368,"1,669","8,495",,  3/10
6404,https://www.realtor.com/realestateandhomes-detail/3111-NW-59th-St_Miami_FL_33142_M50946-52198,"1,612","5,160",,  1/10
6409,https://www.realtor.com/realestateandhomes-detail/7401-SW-67th-Ave_South-Miami_FL_33143_M50282-27108,"2,508",,0.37,  5/10
6412,https://www.realtor.com/realestateandhomes-detail/Miami_FL_33175_M53270-43105,"1,449","4,240",,  1/10
6414,https://www.realtor.com/realestateandhomes-detail/922-Obispo-Ave_Coral-Gables_FL_33134_M53258-55670,"1,590",,0.3,  4/10
6413,https://www.realtor.com/realestateandhomes-detail/1938-NW-52nd-St_Miami_FL_33142_M52878-24812,"1,698","5,250",,  1/10
6417,https://www.realtor.com/realestateandhomes-detail/2110-Alhambra-Cir_Coral-Gables_FL_33134_M52473-36329,"3,735",,0.28,  4/10
6415,https://www.realtor.com/realestateandhomes-detail/12140-SW-99th-Ave_Miami_FL_33176_M67815-32840,"2,409",,0.34,  4/10
6416,https://www.realtor.com/realestateandhomes-detail/Key-Biscayne_FL_33149_M93252-18137,,,0.28,  10/10
6419,https://www.realtor.com/realestateandhomes-detail/5363-SW-165th-Ct_Miami_FL_33185_M64557-43852,"1,953","6,000",,  1/10
6418,https://www.realtor.com/realestateandhomes-detail/8969-SW-214th-St_Cutler-Bay_FL_33189_M64020-62797,"1,705","5,605",,  5/10
6421,https://www.realtor.com/realestateandhomes-detail/1990-NE-187th-Dr_North-Miami-Beach_FL_33179_M64535-86249,"1,884","7,420",,  6/10
6424,https://www.realtor.com/realestateandhomes-detail/288-Atlantic-Isle_Sunny-Isles-Beach_FL_33160_M61706-11365,"5,085","9,225",,  10/10
6423,https://www.realtor.com/realestateandhomes-detail/50-Samana-Dr_Miami_FL_33133_M68687-60520,"3,432",,0.25,  1/10
6420,https://www.realtor.com/realestateandhomes-detail/1130-NW-41st-St_Miami_FL_33127_M98745-77394,"1,765","5,450",,  1/10
6422,https://www.realtor.com/realestateandhomes-detail/3009-Pine-Tree-Dr_Miami-Beach_FL_33140_M68129-28464,"5,119",,0.33,  9/10
6427,https://www.realtor.com/realestateandhomes-detail/2571-NW-139th-St_Opa-Locka_FL_33054_M69062-55652,720,"6,200",,  3/10
6426,https://www.realtor.com/realestateandhomes-detail/17501-NW-32nd-Ave_Miami-Gardens_FL_33056_M69424-92670,"1,116","8,500",,  6/10
6425,https://www.realtor.com/realestateandhomes-detail/6610-NW-15th-Ave_Miami_FL_33147_M98286-18864,"1,372","2,500",,  1/10
6429,https://www.realtor.com/realestateandhomes-detail/1516-Garcia-Ave_Coral-Gables_FL_33146_M55494-51325,"4,534",,0.38,  7/10
6431,https://www.realtor.com/realestateandhomes-detail/50-East-Dr_North-Miami-Beach_FL_33162_M64033-14493,"1,607","7,500",,  5/10
6430,https://www.realtor.com/realestateandhomes-detail/25021-SW-128th-Path_Homestead_FL_33032_M59154-12327,"1,496","4,500",,  6/10
6432,https://www.realtor.com/realestateandhomes-detail/1210-Lenox-Ave_Miami-Beach_FL_33139_M69430-59882,"3,500","7,500",,  10/10
6428,https://www.realtor.com/realestateandhomes-detail/9852-NW-10th-Ter_Miami_FL_33172_M68446-25424,"1,735","4,275",,  4/10
6433,https://www.realtor.com/realestateandhomes-detail/320-SW-125th-Ave_Miami_FL_33184_M58843-07706,"3,919",,0.81,  4/10
6434,https://www.realtor.com/realestateandhomes-detail/10702-SW-236th-Ter_Homestead_FL_33032_M55609-94442,"2,552","5,892",,  6/10
6435,https://www.realtor.com/realestateandhomes-detail/6767-SW-70th-Ave_Miami_FL_33143_M50574-71089,"4,676",,0.45,  5/10
6437,https://www.realtor.com/realestateandhomes-detail/2825-SW-143rd-Ct_Miami_FL_33175_M50880-56616,"2,169","7,255",,  1/10
6436,https://www.realtor.com/realestateandhomes-detail/530-NW-31st-Ave_Miami_FL_33125_M51644-56353,"1,746","6,425",,  1/10
6439,https://www.realtor.com/realestateandhomes-detail/10180-SW-71st-Ave_Miami_FL_33156_M58855-30115,"2,921",,0.34,  3/10
6442,https://www.realtor.com/realestateandhomes-detail/5240-SW-89th-Pl_Miami_FL_33165_M55614-19990,"2,184","7,500",,  1/10
6441,https://www.realtor.com/realestateandhomes-detail/4541-Post-Ave_Miami-Beach_FL_33140_M64047-90610,"2,142","6,900",,  10/10
6438,https://www.realtor.com/realestateandhomes-detail/12705-SW-115th-Ter_Miami_FL_33186_M61594-41091,"2,016",,0.25,  3/10
6440,https://www.realtor.com/realestateandhomes-detail/5240-SW-112th-Ave_Miami_FL_33165_M63767-12419,966,"8,250",,  1/10
6443,https://www.realtor.com/realestateandhomes-detail/Miami_FL_33129_M50294-53735,"1,265","8,970",,  2/10
6444,https://www.realtor.com/realestateandhomes-detail/5170-Lagorce-Dr_Miami-Beach_FL_33140_M91674-55627,"4,962","8,723",,  10/10
6448,https://www.realtor.com/realestateandhomes-detail/8021-NW-159th-Ter_Miami-Lakes_FL_33016_M61676-96460,"2,689","8,250",,  5/10
6447,https://www.realtor.com/realestateandhomes-detail/9798-NW-51st-Ter_Doral_FL_33178_M64320-49683,"1,385","4,577",,  1/10
6445,https://www.realtor.com/realestateandhomes-detail/4801-Orduna-Dr_Coral-Gables_FL_33146_M56469-01764,"4,781",,0.42,  6/10
6449,https://www.realtor.com/realestateandhomes-detail/19240-E-Saint-Andrews-Dr_Hialeah_FL_33015_M57508-39627,"2,678",,0.25,  4/10
6446,https://www.realtor.com/realestateandhomes-detail/811-NW-42nd-St_Miami_FL_33127_M51429-13520,"1,323","5,000",,  1/10
6451,https://www.realtor.com/realestateandhomes-detail/3591-Rockerman-Rd_Miami_FL_33133_M66218-92938,"7,694",,0.38,  10/10
6450,https://www.realtor.com/realestateandhomes-detail/16320-SW-144th-Ave_Miami_FL_33177_M55662-18584,"2,212","7,500",,  2/10
6452,https://www.realtor.com/realestateandhomes-detail/8851-NW-160th-Ter_Miami-Lakes_FL_33018_M91937-87787,"2,582","5,867",,  6/10
6454,https://www.realtor.com/realestateandhomes-detail/1000-SW-87th-Ct_Miami_FL_33174_M63241-16142,"1,837","8,137",,  6/10
6457,https://www.realtor.com/realestateandhomes-detail/6925-NW-104th-Ct_Medley_FL_33178_M68022-55240,"2,878","4,000",,  7/10
6456,https://www.realtor.com/realestateandhomes-detail/211-190th-St_Sunny-Isles-Beach_FL_33160_M54747-19323,"1,969","7,500",,  10/10
6459,https://www.realtor.com/realestateandhomes-detail/8571-SW-210th-Ter_Cutler-Bay_FL_33189_M55107-99876,"2,190","7,243",,  6/10
6455,https://www.realtor.com/realestateandhomes-detail/Cutler-Bay_FL_33189_M52879-28386,"1,300","9,240",,  5/10
6453,https://www.realtor.com/realestateandhomes-detail/11322-SW-104th-Ave_Miami_FL_33176_M66575-86316,"2,274",,0.34,  4/10
6458,https://www.realtor.com/realestateandhomes-detail/14000-SW-132nd-Ave_Miami_FL_33186_M64698-33802,"2,136","8,697",,  1/10
6460,https://www.realtor.com/realestateandhomes-detail/14969-SW-74th-Ter_Miami_FL_33193_M60919-63841,"1,402","2,851",,  1/10
6464,https://www.realtor.com/realestateandhomes-detail/12490-SW-97th-St_Miami_FL_33186_M55709-00060,"3,368",,0.32,  1/10
6462,https://www.realtor.com/realestateandhomes-detail/20301-SW-116th-Ave_Miami_FL_33189_M52359-42397,"2,455","7,500",,  2/10
6468,https://www.realtor.com/realestateandhomes-detail/5351-Banyan-Dr_Coral-Gables_FL_33156_M58682-98729,"5,858",,0.99,  6/10
6461,https://www.realtor.com/realestateandhomes-detail/4900-Cherokee-Ave_Miami-Beach_FL_33140_M64212-62156,"2,743",,0.24,  10/10
6467,https://www.realtor.com/realestateandhomes-detail/6460-SW-133rd-Dr_Miami_FL_33156_M59423-23412,"5,090",,0.53,  3/10
6466,https://www.realtor.com/realestateandhomes-detail/800-E-10th-Ave_Hialeah_FL_33010_M56211-02360,936,"6,180",,  1/10
6463,https://www.realtor.com/realestateandhomes-detail/1563-NE-174th-St_North-Miami-Beach_FL_33162_M65163-04830,"1,742","5,850",,  4/10
6465,https://www.realtor.com/realestateandhomes-detail/32171-SW-197th-Ave_Homestead_FL_33030_M67307-42021,"1,954",,0.35,  1/10
6469,https://www.realtor.com/realestateandhomes-detail/11501-Old-Cutler-Rd_Coral-Gables_FL_33156_M55133-71014,"13,872",,2.87,  1/10
6471,https://www.realtor.com/realestateandhomes-detail/10900-SW-61st-Ct_Miami_FL_33156_M59384-47754,"5,897",,0.9,  6/10
6473,https://www.realtor.com/realestateandhomes-detail/16010-NW-26th-Ave_Opa-Locka_FL_33054_M51400-39457,914,"7,500",,  3/10
6474,https://www.realtor.com/realestateandhomes-detail/8450-Menteith-Ter_Miami-Lakes_FL_33016_M62562-77605,"2,473",,0.23,  6/10
6472,https://www.realtor.com/realestateandhomes-detail/13445-SW-290th-St_Homestead_FL_33033_M67372-99420,"2,043","5,000",,  6/10
6475,https://www.realtor.com/realestateandhomes-detail/16621-SW-84th-Ct_Palmetto-Bay_FL_33157_M51314-60066,"2,650",,0.34,  6/10
6476,https://www.realtor.com/realestateandhomes-detail/2385-Tequesta-Ln_Coconut-Grove_FL_33133_M50002-43563,"3,034","5,000",,  1/10
6477,https://www.realtor.com/realestateandhomes-detail/524-NW-88th-St_El-Portal_FL_33150_M67598-78179,"1,491",,0.24,  10/10
6479,https://www.realtor.com/realestateandhomes-detail/835-SW-5th-St_Miami_FL_33130_M50989-37751,"1,598","5,648",,  6/10
6478,https://www.realtor.com/realestateandhomes-detail/11007-SW-243rd-Ln_Homestead_FL_33032_M50970-47979,"2,440","5,700",,  6/10
6480,https://www.realtor.com/realestateandhomes-detail/1675-SE-20th-Rd_Homestead_FL_33035_M66438-36436,"1,928","5,307",,  6/10
6470,https://www.realtor.com/realestateandhomes-detail/10892-SW-181st-Ter_Palmetto-Bay_FL_33157_M50930-62019,"1,604","6,751",,  6/10
6482,https://www.realtor.com/realestateandhomes-detail/9775-W-34th-Ct_Hialeah_FL_33018_M65598-14481,"2,486","3,420",,  6/10
6483,https://www.realtor.com/realestateandhomes-detail/5939-SW-16th-Ter_Miami_FL_33155_M56446-43063,"1,487","6,512",,  5/10
6484,https://www.realtor.com/realestateandhomes-detail/Homestead_FL_33033_M62037-38924,"1,215",,0.24,  5/10
6481,https://www.realtor.com/realestateandhomes-detail/1105-NE-116th-St_Biscayne-Park_FL_33161_M50547-37225,"1,530",,0.24,  6/10
6488,https://www.realtor.com/realestateandhomes-detail/240-S-Royal-Poinciana-Blvd_Miami-Springs_FL_33166_M59149-07051,"1,727","7,922",,  1/10
6486,https://www.realtor.com/realestateandhomes-detail/7240-SW-6th-St_Miami_FL_33144_M65641-01993,"1,999","8,890",,  1/10
6487,https://www.realtor.com/realestateandhomes-detail/380-Isla-Dorada-Blvd_Coral-Gables_FL_33143_M58186-97759,"10,009",,0.61,  9/10
6485,https://www.realtor.com/realestateandhomes-detail/1628-SW-18th-St_Miami_FL_33145_M65808-74816,"1,393","6,750",,  1/10
6489,https://www.realtor.com/realestateandhomes-detail/1321-14th-Ter_Miami-Beach_FL_33139_M66876-76378,"1,979","5,000",,  9/10
6490,https://www.realtor.com/realestateandhomes-detail/11905-SW-66th-Ave_Pinecrest_FL_33156_M63143-15747,"4,389",,0.91,  1/10
6491,https://www.realtor.com/realestateandhomes-detail/921-E-18th-St_Hialeah_FL_33013_M55558-86960,"2,428","8,220",,  1/10
6492,https://www.realtor.com/realestateandhomes-detail/1341-SW-74th-Ave_Miami_FL_33144_M64644-96946,"1,563","7,215",,  3/10
6494,https://www.realtor.com/realestateandhomes-detail/2915-NW-98th-Pl_Doral_FL_33172_M60406-59522,"1,908","5,100",,  1/10
6493,https://www.realtor.com/realestateandhomes-detail/19450-SW-118th-Ave_Miami_FL_33177_M56092-72609,"1,104","7,500",,  1/10
6495,https://www.realtor.com/realestateandhomes-detail/2502-NE-41st-Ave_Homestead_FL_33033_M66585-19218,"1,200","3,600",,  6/10
6496,https://www.realtor.com/realestateandhomes-detail/5450-W-2nd-Ave_Hialeah_FL_33012_M69273-22282,"1,158","7,700",,  3/10
6497,https://www.realtor.com/realestateandhomes-detail/530-NE-140th-St_North-Miami_FL_33161_M60987-77211,"1,740",,0.24,  6/10
6498,https://www.realtor.com/realestateandhomes-detail/17-Marabella-Ave_Coral-Gables_FL_33134_M52435-35203,"1,164","6,666",,  1/10
6499,https://www.realtor.com/realestateandhomes-detail/2451-NW-59th-St_Miami_FL_33142_M52029-70261,"1,289","8,601",,  1/10
6501,https://www.realtor.com/realestateandhomes-detail/23467-SW-108th-Ct_Miami_FL_33189_M92623-84690,"2,396",,,  6/10
6500,https://www.realtor.com/realestateandhomes-detail/2765-SW-14th-St_Miami_FL_33145_M69003-75368,"1,814","6,900",,  1/10
6504,https://www.realtor.com/realestateandhomes-detail/2331-SW-7th-St_Miami_FL_33135_M65181-90352,"2,695","8,100",,  1/10
6502,https://www.realtor.com/realestateandhomes-detail/4405-Granada-Blvd_Coral-Gables_FL_33146_M55572-39907,,,0.36,  1/10
6503,https://www.realtor.com/realestateandhomes-detail/821-NW-97th-Ct_Doral_FL_33172_M66441-07537,"3,010","9,056",,  1/10
6507,https://www.realtor.com/realestateandhomes-detail/522-Alhambra-Cir_Coral-Gables_FL_33134_M53615-56442,"2,624",,0.29,  4/10
6505,https://www.realtor.com/realestateandhomes-detail/891-NE-84th-St_Miami_FL_33138_M55984-78264,"1,933","8,880",,  10/10
6506,https://www.realtor.com/realestateandhomes-detail/7575-SW-30th-Ter_Miami_FL_33155_M69584-94280,936,"6,500",,  7/10
6508,https://www.realtor.com/realestateandhomes-detail/11820-Griffing-Blvd_Biscayne-Park_FL_33161_M57430-25151,"3,260",,0.36,  9/10
6509,https://www.realtor.com/realestateandhomes-detail/10605-SW-69th-Ter_Miami_FL_33173_M56739-77657,"1,682","3,570",,  5/10
6513,https://www.realtor.com/realestateandhomes-detail/9049-Carlyle-Ave_Surfside_FL_33154_M55193-92230,"1,087","5,600",,  10/10
6516,https://www.realtor.com/realestateandhomes-detail/810-E-23rd-St_Hialeah_FL_33013_M52417-23204,"1,435","8,280",,  1/10
6514,https://www.realtor.com/realestateandhomes-detail/7801-SW-53rd-Ave_Miami_FL_33143_M52819-02187,"1,624","8,330",,  3/10
6510,https://www.realtor.com/realestateandhomes-detail/8425-SW-40th-Ter_Miami_FL_33155_M56375-91576,"2,329","5,300",,  1/10
6515,https://www.realtor.com/realestateandhomes-detail/1113-NW-103rd-St_Miami_FL_33150_M54274-11172,"1,160","5,100",,  3/10
6517,https://www.realtor.com/realestateandhomes-detail/4107-NE-22nd-Ct_Homestead_FL_33033_M58343-36982,"1,865","5,000",,  6/10
6511,https://www.realtor.com/realestateandhomes-detail/6198-SW-63rd-St_South-Miami_FL_33143_M69457-94817,"1,147","8,100",,  1/10
6512,https://www.realtor.com/realestateandhomes-detail/4221-NW-196th-St_Miami-Gardens_FL_33055_M51513-79676,"1,125","7,500",,  1/10
6518,https://www.realtor.com/realestateandhomes-detail/7841-SW-183rd-Ter_Palmetto-Bay_FL_33157_M54801-57490,"3,581",,0.34,  6/10
6521,https://www.realtor.com/realestateandhomes-detail/12620-SW-185th-St_Miami_FL_33177_M69244-73624,"1,420","7,575",,  1/10
6522,https://www.realtor.com/realestateandhomes-detail/8755-SW-54th-Ave_Miami_FL_33143_M64662-37073,,,1.0,  6/10
6523,https://www.realtor.com/realestateandhomes-detail/864-W-71st-St_Hialeah_FL_33014_M58572-30744,"1,445","7,680",,  1/10
6524,https://www.realtor.com/realestateandhomes-detail/2811-SW-68th-Ave_Miami_FL_33155_M69396-74979,999,"5,000",,  3/10
6520,https://www.realtor.com/realestateandhomes-detail/54-Bay-Heights-Dr_Miami_FL_33133_M69796-57667,"2,392","9,826",,  1/10
6519,https://www.realtor.com/realestateandhomes-detail/1858-NW-47th-Ter_Miami_FL_33142_M51002-81282,"1,246","4,796",,  4/10
6525,https://www.realtor.com/realestateandhomes-detail/860-NW-31st-Ave_Miami_FL_33125_M56965-36362,"1,500","8,900",,  1/10
6528,https://www.realtor.com/realestateandhomes-detail/3163-SW-148th-Pl_Miami_FL_33185_M92250-06721,"1,904","6,900",,  1/10
6527,https://www.realtor.com/realestateandhomes-detail/15210-SW-154th-Ter_Miami_FL_33187_M56277-44655,"2,408",,0.29,  5/10
6529,https://www.realtor.com/realestateandhomes-detail/9261-SW-174th-St_Palmetto-Bay_FL_33157_M54987-00033,"2,881",,0.28,  1/10
6530,https://www.realtor.com/realestateandhomes-detail/39-NW-49th-St_Miami_FL_33127_M58792-13982,"1,330","5,500",,  1/10
6531,https://www.realtor.com/realestateandhomes-detail/761-NE-195th-St_Miami_FL_33179_M58782-40512,"2,232","2,471",,  1/10
6526,https://www.realtor.com/realestateandhomes-detail/9800-NW-28th-Ter_Doral_FL_33172_M67996-90403,"2,488",,0.24,  4/10
6532,https://www.realtor.com/realestateandhomes-detail/1230-NE-83rd-St_Miami_FL_33138_M54790-06801,"2,716","7,605",,  10/10
6533,https://www.realtor.com/realestateandhomes-detail/1195-NE-182nd-St_North-Miami-Beach_FL_33162_M65097-83290,"1,100","7,706",,  5/10
6534,https://www.realtor.com/realestateandhomes-detail/6251-SW-79th-St_South-Miami_FL_33143_M50479-78057,"3,128",,0.32,  1/10
6535,https://www.realtor.com/realestateandhomes-detail/790-NW-51st-St_Miami_FL_33127_M69083-24386,"1,208","5,400",,  4/10
6540,https://www.realtor.com/realestateandhomes-detail/14223-SW-80th-Ave_Palmetto-Bay_FL_33158_M50339-35095,"2,730",,0.4,  1/10
6539,https://www.realtor.com/realestateandhomes-detail/14515-SW-161st-Pl_Miami_FL_33196_M63468-14250,"2,416","6,000",,  4/10
6541,https://www.realtor.com/realestateandhomes-detail/5501-NW-105th-Ct_Doral_FL_33178_M64523-96887,"2,885","5,457",,  1/10
6536,https://www.realtor.com/realestateandhomes-detail/24662-SW-108th-Ave_Homestead_FL_33032_M64180-87153,"2,501","5,031",,  6/10
6537,https://www.realtor.com/realestateandhomes-detail/2155-SW-75th-Ave_Miami_FL_33155_M67227-49928,"1,300","5,000",,  7/10
6543,https://www.realtor.com/realestateandhomes-detail/3509-SE-1st-St_Homestead_FL_33033_M65481-87507,"3,196",,0.31,  6/10
6542,https://www.realtor.com/realestateandhomes-detail/1825-NW-172nd-Ter_Miami-Gardens_FL_33056_M64547-29354,"1,906","7,500",,  1/10
6544,https://www.realtor.com/realestateandhomes-detail/410-W-62nd-St_Miami-Beach_FL_33140_M57459-66012,"2,854",,0.24,  10/10
6549,https://www.realtor.com/realestateandhomes-detail/17821-SW-100th-St_Miami_FL_33196_M51323-96637,"11,819",,5.0,  6/10
6545,https://www.realtor.com/realestateandhomes-detail/680-NE-172nd-Ter_Miami_FL_33162_M59818-39832,"1,735","8,000",,  5/10
6548,https://www.realtor.com/realestateandhomes-detail/8120-SW-122nd-St_Miami_FL_33156_M67860-12488,"2,643",,0.92,  2/10
6550,https://www.realtor.com/realestateandhomes-detail/105-W-Sunrise-Ave_Coral-Gables_FL_33133_M61563-52603,"2,706",,0.23,  8/10
6546,https://www.realtor.com/realestateandhomes-detail/7526-NE-6th-Ct_Miami_FL_33138_M52159-17501,"1,390","5,400",,  10/10
6547,https://www.realtor.com/realestateandhomes-detail/15845-SW-150th-Ct_Miami_FL_33187_M67262-56075,"2,947",,0.38,  1/10
6555,https://www.realtor.com/realestateandhomes-detail/2850-SE-7th-Pl_Homestead_FL_33033_M98975-23133,,,,  6/10
6554,https://www.realtor.com/realestateandhomes-detail/7824-W-18th-Ln_Hialeah_FL_33014_M60279-46027,"1,886","8,625",,  1/10
6552,https://www.realtor.com/realestateandhomes-detail/15806-SW-97th-Ave_Palmetto-Bay_FL_33157_M51497-57644,"5,323",,0.28,  1/10
6556,https://www.realtor.com/realestateandhomes-detail/860-S-Shore-Dr_Miami-Beach_FL_33141_M61779-15063,,,0.31,  10/10
6553,https://www.realtor.com/realestateandhomes-detail/11212-NW-71st-Ter_Doral_FL_33178_M60095-05194,"3,548","7,970",,  1/10
6557,https://www.realtor.com/realestateandhomes-detail/1468-NW-53rd-St_Miami_FL_33142_M58472-66152,648,"5,000",,  1/10
6551,https://www.realtor.com/realestateandhomes-detail/1675-W-3rd-Ave_Hialeah_FL_33010_M57193-72650,"1,325","4,560",,  1/10
6558,https://www.realtor.com/realestateandhomes-detail/14481-SW-289th-Ter_Homestead_FL_33033_M61281-63592,"1,884","7,875",,  5/10
6559,https://www.realtor.com/realestateandhomes-detail/Miami_FL_33142_M98210-54743,,"2,610",,  1/10
6561,https://www.realtor.com/realestateandhomes-detail/3368-SW-4th-St_Miami_FL_33135_M58463-48569,"1,632","6,000",,  5/10
6562,https://www.realtor.com/realestateandhomes-detail/1251-E-2nd-Ave_Hialeah_FL_33010_M56637-71864,887,"3,400",,  1/10
6560,https://www.realtor.com/realestateandhomes-detail/1531-Consolata-Ave_Coral-Gables_FL_33146_M57373-08941,"2,071",,0.23,  1/10
6564,https://www.realtor.com/realestateandhomes-detail/5560-SW-89th-Ct_Miami_FL_33165_M55509-85526,"1,234","7,950",,  1/10
6563,https://www.realtor.com/realestateandhomes-detail/8415-SW-144th-St_Palmetto-Bay_FL_33158_M50417-23677,"1,824",,0.39,  6/10
6565,https://www.realtor.com/realestateandhomes-detail/19610-NE-19th-Pl_Miami_FL_33179_M50796-82662,"2,893","9,825",,  6/10
6567,https://www.realtor.com/realestateandhomes-detail/393-Centre-Is_Golden-Beach_FL_33160_M58313-45435,"5,974",,0.59,  10/10
